"zip","city","county","pop"
"33024","Hollywood","Broward","76508"
"33311","Fort Lauderdale","Broward","76073"
"33023","Hollywood","Broward","73973"
"33012","Hialeah","Miami-Dade","73828"
"33025","Hollywood","Broward","73428"
"33411","West Palm Beach","Palm Beach","72546"
"33647","Tampa","Hillsborough","71004"
"34953","Port St. Lucie","St. Lucie","70705"
"34787","Winter Garden","Orange","69976"
"32828","Orlando","Orange","69497"
"33186","Miami","Miami-Dade","68581"
"33157","Miami","Miami-Dade","67455"
"33015","Hialeah","Miami-Dade","67191"
"32765","Oviedo","Seminole","64268"
"32218","Jacksonville","Duval","64007"
"33463","Lake Worth","Palm Beach","63577"
"33313","Fort Lauderdale","Broward","62842"
"32210","Jacksonville","Duval","62048"
"32822","Orlando","Orange","61760"
"34711","Clermont","Lake","61594"
"33414","West Palm Beach","Palm Beach","61323"
"33064","Pompano Beach","Broward","61293"
"32825","Orlando","Orange","61289"
"33125","Miami","Miami-Dade","61156"
"33027","Hollywood","Broward","60679"
"32244","Jacksonville","Duval","59402"
"32808","Orlando","Orange","59291"
"33142","Miami","Miami-Dade","59073"
"33511","Brandon","Hillsborough","58833"
"33458","Jupiter","Palm Beach","58714"
"33033","Homestead","Miami-Dade","58427"
"32818","Orlando","Orange","58198"
"33065","Pompano Beach","Broward","58171"
"33177","Miami","Miami-Dade","57526"
"32068","Middleburg","Clay","57305"
"34744","Kissimmee","Osceola","57134"
"32771","Sanford","Seminole","56266"
"33161","Miami","Miami-Dade","56130"
"33165","Miami","Miami-Dade","55822"
"33312","Fort Lauderdale","Broward","55298"
"32225","Jacksonville","Duval","55018"
"32162","Lady Lake","Sumter","54951"
"33063","Pompano Beach","Broward","54707"
"33467","Lake Worth","Palm Beach","54261"
"32703","Apopka","Orange","53763"
"33018","Hialeah","Miami-Dade","53419"
"33175","Miami","Miami-Dade","53348"
"33196","Miami","Miami-Dade","53047"
"33126","Miami","Miami-Dade","52986"
"32839","Orlando","Orange","52886"
"33068","Pompano Beach","Broward","52749"
"32259","Jacksonville","St. Johns","52296"
"33176","Miami","Miami-Dade","52288"
"33178","Miami","Miami-Dade","52206"
"33415","West Palm Beach","Palm Beach","51791"
"33612","Tampa","Hillsborough","51745"
"33016","Hialeah","Miami-Dade","51700"
"32792","Winter Park","Orange","51659"
"32246","Jacksonville","Duval","51589"
"32837","Orlando","Orange","51310"
"32174","Ormond Beach","Volusia","51165"
"33810","Lakeland","Polk","51139"
"33032","Homestead","Miami-Dade","50135"
"33193","Miami","Miami-Dade","49999"
"33021","Hollywood","Broward","49941"
"32304","Tallahassee","Leon","49927"
"32725","Deltona","Volusia","49923"
"32608","Gainesville","Alachua","49659"
"33614","Tampa","Hillsborough","49060"
"33324","Fort Lauderdale","Broward","49045"
"32303","Tallahassee","Leon","48507"
"33029","Hollywood","Broward","48161"
"32712","Apopka","Orange","48151"
"34668","Port Richey","Pasco","48146"
"32835","Orlando","Orange","48078"
"32256","Jacksonville","Duval","47943"
"33147","Miami","Miami-Dade","47811"
"33461","Lake Worth","Palm Beach","47735"
"34741","Kissimmee","Osceola","47710"
"33615","Tampa","Hillsborough","47512"
"33617","Tampa","Hillsborough","47441"
"33321","Fort Lauderdale","Broward","47413"
"34135","Bonita Springs","Lee","47356"
"32164","Palm Coast","Flagler","47341"
"33162","Miami","Miami-Dade","47123"
"33610","Tampa","Hillsborough","46799"
"33319","Fort Lauderdale","Broward","46786"
"33155","Miami","Miami-Dade","46617"
"32824","Orlando","Orange","46482"
"34221","Palmetto","Manatee","46357"
"34761","Ocoee","Orange","45864"
"34786","Windermere","Orange","45836"
"32738","Deltona","Volusia","45611"
"32708","Winter Springs","Seminole","45323"
"33010","Hialeah","Miami-Dade","45246"
"32746","Lake Mary","Seminole","45244"
"33020","Hollywood","Broward","45147"
"34743","Kissimmee","Osceola","45109"
"32907","Palm Bay","Brevard","45037"
"34997","Stuart","Martin","44632"
"33436","Boynton Beach","Palm Beach","44489"
"33179","Miami","Miami-Dade","44341"
"34746","Kissimmee","Osceola","44307"
"32224","Jacksonville","Duval","44058"
"32137","Palm Coast","Flagler","43876"
"33172","Miami","Miami-Dade","43356"
"34758","Kissimmee","Osceola","43143"
"34983","Port St. Lucie","St. Lucie","42818"
"32073","Orange Park","Clay","42520"
"32514","Pensacola","Escambia","42444"
"34609","Spring Hill","Hernando","42227"
"32940","Melbourne","Brevard","42171"
"33014","Hialeah","Miami-Dade","41924"
"34655","New Port Richey","Pasco","41872"
"33169","Miami","Miami-Dade","41626"
"33009","Hallandale","Broward","41578"
"34952","Port St. Lucie","St. Lucie","41567"
"33428","Boca Raton","Palm Beach","41441"
"32935","Melbourne","Brevard","41209"
"32811","Orlando","Orange","41057"
"34208","Bradenton","Manatee","40998"
"33418","West Palm Beach","Palm Beach","40926"
"33055","Opa Locka","Miami-Dade","40883"
"33309","Fort Lauderdale","Broward","40844"
"34759","Kissimmee","Polk","40713"
"33880","Winter Haven","Polk","40519"
"33134","Miami","Miami-Dade","40265"
"33433","Boca Raton","Palm Beach","40257"
"32566","Navarre","Santa Rosa","40232"
"33619","Tampa","Hillsborough","40092"
"34748","Leesburg","Lake","39977"
"33624","Tampa","Hillsborough","39803"
